name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type,Good quality
20180627sample10,0.0,-8.993219584226608,114.61827165186,80.11278882622719,-39.53155130147934,0.8400000000000074,33,193.35240082629028,-43.263904702663424,11.480000000000004,0.0,1.3582940634851266,24.251537483699817,S1layer5,True
20180705sample10,0.733550637960434,5.10820746421814,201.33013109627746,78.13579775393009,-49.64893311262131,1.0000000000000009,23,323.2904261499643,-57.09113120213151,38.800000000000004,20.0,1.042440923155752,19.3317759982178,S1layer5,True
20180627sample4,0.0,-12.612774968147278,111.95441422617645,79.77978885173798,-37.493374198675156,0.9200000000000041,29,228.5392197991411,-49.837414152920246,50.360000000000014,20.0,1.1322200909299676,22.791603945624974,S1layer5,True
20180626sample9,0.0,-16.38457179069519,131.6223492665331,83.98346975445747,-31.564030796289444,0.9200000000000041,27,190.62725622082746,-55.77320136725903,86.88000000000001,40.0,1.1886638204338866,21.457080065822044,S1layer5,True
20180703sample12,0.0,-7.092799991369247,119.7882851093861,65.0030355900526,-36.16993874311447,0.9199999999999764,32,267.16587560251355,-56.034746035933495,60.320000000000014,21.886792452830203,1.1169732495437754,13.24535150799835,S1layer5,True
20180703sample18,0.0,-8.563924580812454,130.38107299102,84.8870538175106,-43.74908655881882,0.7199999999999984,53,254.91107338046032,-58.439841370284555,23.320000000000007,20.0,1.2833844924584292,12.361161878410003,S1layer5,True
20180627sample7,0.0,-10.41857898235321,157.55837169528422,79.18642088770866,-46.64793238043785,0.6000000000000449,60,178.69368307425503,-58.2587352141738,579.1600000000001,17.575757575757578,1.105353797354533,13.075491498049397,S1layer5,True
20180626sample1,0.0,-15.65520092844963,113.64161336176267,79.74065840244293,-37.110939621925354,0.9600000000000025,37,245.1792205311358,-52.55980321317911,19.56000000000001,0.0,1.2934164960316676,18.640869422043078,S1layer5,True
20180626sample3,0.0,-8.741717785596848,125.22094574243783,87.61323615908623,-40.746599435806274,1.0799999999999976,33,246.94433622062206,-60.78036052435637,41.160000000000004,40.0,1.344957281648252,17.172411559834728,S1layer5,True
20180703sample8,0.0,-2.895783632993698,148.26168558405567,89.54190462827682,-49.43569377064705,0.7600000000000107,23,177.721430947738,-61.63641571253538,31.879999999999992,40.0,1.100315635284628,16.679293900306376,S1layer5,True
20180703sample9,0.0,-18.487978726625443,109.15695677694103,74.29265230894089,-33.33531320095062,0.7599999999999829,48,383.5652198220293,-60.05798769295215,113.28000000000002,13.5,1.1054415171070677,16.293974130519544,S1layer5,True
20180705sample5,0.0,-19.93006095290184,103.27931886844269,65.65960496664047,-37.28686645627022,0.9200000000000041,25,250.6570935423175,-66.5419478058815,115.80000000000001,45.777777777777786,1.2325847788845208,20.012569932225944,S1layer5,True
20180703sample13,0.0,-15.52259549498558,147.50611246943765,69.84284520149231,-32.699037343263626,0.7600000000000107,20,207.17352241898573,-61.4884147182107,139.96,75.0,1.1060686152256722,15.95385978234256,S1layer5,True
20180705sample9,0.0,-15.097465366125107,128.5328190148053,73.66535812616348,-42.09728166460991,0.6800000000000139,26,265.3772831878491,-59.97931235432625,60.760000000000005,1.6216216216216215,1.2240130065968264,13.053489327475187,S1layer5,True
20180627sample6,0.0,-13.446968048810959,112.12817147856512,78.42190936207771,-44.840436428785324,0.7600000000000107,55,208.15893625840548,-61.24530356824398,33.519999999999996,20.0,1.4659449820968218,15.179026221352574,S1layer5,True
20180627sample5,0.0,-15.900477766990662,112.40482454308813,64.5842645317316,-37.7936065196991,0.7599999999999829,46,206.65535959973937,-62.145083512365815,93.36,47.16981132075472,1.5595043753111775,17.397780323648757,S1layer5,True
20180919sample10,0.0,-12.1169313788414,180.7146982011878,68.39349120855331,-33.7388701736927,0.8399999999999797,11,191.11341678475335,-57.666161908209325,55.68000000000001,72.5,1.3107792430465521,18.386018069566592,V1layer4,True
20180920sample11,0.0,-7.853738963603973,126.09903670089957,84.87019687891006,-44.3996787071228,0.7600000000000107,19,244.71777265625335,-59.200030060112475,29.719999999999995,20.0,1.0557411903880236,16.49792395515838,V1layer4,True
20180605sample1,0.0,-14.027729630470276,118.73846153846162,69.49095986783504,-42.29080304503441,0.7599999999999829,22,164.91692979243538,-67.2113286435604,80.56000000000002,72.5,1.1911980571880008,14.114813514485306,V1layer4,False
20180920sample4,0.8969046175479889,-6.2345825135707855,136.7166460262232,78.00491899251938,-42.0299656689167,0.9200000000000041,14,281.94144868424956,-55.775560304522514,51.28000000000002,0.0,1.1681425094168625,22.01253396167948,V1layer4,True
20180919sample1,0.0,-6.678424775600433,454.71380471380485,66.93311594426632,-46.73874005675316,1.239999999999991,5,255.44715818431646,-48.24075863748205,2.9600000000000044,0.0,1.176577550381599,23.83814895286929,V1layer4,False
20180605sample13,0.0,-11.476192623376846,113.6322741802324,80.52598312497139,-32.30602294206619,0.9600000000000164,16,352.45037983570785,-51.00166585147381,222.08000000000004,0.0,1.208812143117582,36.48527852768601,V1layer4,True
20180703sample15,0.0,-10.876618325710297,123.41741447038311,73.666512966156,-27.24086120724678,0.7600000000000107,19,342.3635420811673,-50.62988940179348,63.04000000000001,20.0,1.1988875278026525,27.25027206783405,V1layer4,True
20180626sample13,0.0,-6.1854831874370575,96.71125082182775,72.33209908008575,-37.928931415081024,0.9200000000000041,21,354.76893346889744,-59.73163771480322,56.279999999999994,20.0,1.082899613991755,29.762173045917795,V1layer4,True
